time;pressure
2023-10-30T11:59:30.802191;1005.299560546875
2023-10-30T11:59:31.016322;1005.179931640625
2023-10-30T11:59:31.231315;1005.2470703125
2023-10-30T11:59:31.446296;1005.27587890625
2023-10-30T11:59:31.660214;1005.197021484375
2023-10-30T11:59:31.875069;1005.25390625
2023-10-30T11:59:32.089455;1005.26806640625
2023-10-30T11:59:32.304348;1005.212646484375
2023-10-30T11:59:32.519279;1005.24658203125
2023-10-30T11:59:32.733343;1005.219482421875
2023-10-30T11:59:32.948243;1005.180419921875
2023-10-30T11:59:33.162461;1005.198486328125
2023-10-30T11:59:33.377451;1005.206787109375
2023-10-30T11:59:33.592449;1005.194091796875
2023-10-30T11:59:33.807470;1005.2265625
2023-10-30T11:59:34.022480;1005.237060546875
2023-10-30T11:59:34.237339;1005.203125
2023-10-30T11:59:34.452302;1005.1845703125
2023-10-30T11:59:34.667391;1005.24169921875
2023-10-30T11:59:34.882409;1005.1904296875
2023-10-30T11:59:35.097422;1005.242431640625
2023-10-30T11:59:35.312271;1005.23193359375
2023-10-30T11:59:35.526343;1005.1826171875
2023-10-30T11:59:35.741417;1005.254150390625
2023-10-30T11:59:35.956392;1005.213134765625
2023-10-30T11:59:36.171414;1005.2587890625
2023-10-30T11:59:36.386421;1005.15576171875
2023-10-30T11:59:36.601455;1005.270751953125
2023-10-30T11:59:36.816449;1005.2529296875
2023-10-30T11:59:37.031480;1005.24072265625
2023-10-30T11:59:37.246494;1005.2294921875
2023-10-30T11:59:37.461466;1005.206298828125
2023-10-30T11:59:37.676373;1005.2216796875
2023-10-30T11:59:37.891481;1005.18701171875
2023-10-30T11:59:38.106434;1005.16015625
2023-10-30T11:59:38.321410;1005.228759765625
2023-10-30T11:59:38.536330;1005.281005859375
2023-10-30T11:59:38.751321;1005.22705078125
2023-10-30T11:59:38.966449;1005.238037109375
2023-10-30T11:59:39.181418;1005.23193359375
2023-10-30T11:59:39.396394;1005.21240234375
2023-10-30T11:59:39.611430;1005.3251953125
2023-10-30T11:59:39.826354;1005.164794921875
2023-10-30T11:59:40.041447;1005.2841796875
2023-10-30T11:59:40.256463;1005.238037109375
2023-10-30T11:59:40.471473;1005.25244140625
2023-10-30T11:59:40.686348;1005.243408203125
2023-10-30T11:59:40.901478;1005.2177734375
2023-10-30T11:59:41.116444;1005.240966796875
2023-10-30T11:59:41.331449;1005.246826171875
2023-10-30T11:59:41.546446;1005.27685546875
2023-10-30T11:59:41.761462;1005.180908203125
2023-10-30T11:59:41.976355;1005.328369140625
2023-10-30T11:59:42.191445;1005.309326171875
2023-10-30T11:59:42.406287;1005.32177734375
2023-10-30T11:59:42.621407;1005.21337890625
2023-10-30T11:59:42.836328;1005.243408203125
2023-10-30T11:59:43.051533;1005.22705078125
2023-10-30T11:59:43.266464;1005.210693359375
2023-10-30T11:59:43.481462;1005.322021484375
2023-10-30T11:59:43.696466;1005.249755859375
2023-10-30T11:59:43.911379;1005.254638671875
2023-10-30T11:59:44.126445;1005.245361328125
2023-10-30T11:59:44.341448;1005.214111328125
2023-10-30T11:59:44.556350;1005.244140625
2023-10-30T11:59:44.771395;1005.238037109375
2023-10-30T11:59:44.986439;1005.184814453125
2023-10-30T11:59:45.201419;1005.23876953125
2023-10-30T11:59:45.416469;1005.23046875
2023-10-30T11:59:45.631473;1005.252197265625
2023-10-30T11:59:45.846448;1005.2373046875
2023-10-30T11:59:46.061437;1005.20751953125
2023-10-30T11:59:46.276455;1005.1279296875
2023-10-30T11:59:46.491459;1005.24462890625
2023-10-30T11:59:46.706435;1005.2294921875
2023-10-30T11:59:46.921448;1005.23681640625
2023-10-30T11:59:47.136459;1005.231201171875
2023-10-30T11:59:47.351308;1005.241455078125
2023-10-30T11:59:47.566421;1005.291015625
2023-10-30T11:59:47.781452;1005.201416015625
2023-10-30T11:59:47.996465;1005.255615234375
2023-10-30T11:59:48.211386;1005.26513671875
2023-10-30T11:59:48.426239;1005.265625
2023-10-30T11:59:48.640642;1005.224853515625
2023-10-30T11:59:48.855442;1005.24609375
2023-10-30T11:59:49.070439;1005.182373046875
2023-10-30T11:59:49.285435;1005.197265625
2023-10-30T11:59:49.500539;1005.24169921875
2023-10-30T11:59:49.715479;1005.207763671875
2023-10-30T11:59:49.930451;1005.208251953125
2023-10-30T11:59:50.145426;1005.2265625
2023-10-30T11:59:50.360418;1005.24365234375
2023-10-30T11:59:50.575393;1005.239501953125
2023-10-30T11:59:50.790446;1005.23974609375
2023-10-30T11:59:51.005453;1005.2568359375
2023-10-30T11:59:51.220304;1005.292236328125
2023-10-30T11:59:51.435459;1005.314208984375
2023-10-30T11:59:51.650437;1005.191162109375
2023-10-30T11:59:51.865410;1005.221435546875
2023-10-30T11:59:52.080442;1005.188232421875
2023-10-30T11:59:52.295447;1005.221435546875
2023-10-30T11:59:52.510461;1005.24365234375
2023-10-30T11:59:52.725551;1005.230712890625
2023-10-30T11:59:52.940412;1005.274169921875
2023-10-30T11:59:53.155442;1005.248046875
2023-10-30T11:59:53.370363;1005.228759765625
2023-10-30T11:59:53.585434;1005.256103515625
2023-10-30T11:59:53.800450;1005.236328125
2023-10-30T11:59:54.015423;1005.2998046875
2023-10-30T11:59:54.230440;1005.2763671875
2023-10-30T11:59:54.445473;1005.15087890625
2023-10-30T11:59:54.660462;1005.24853515625
2023-10-30T11:59:54.875397;1005.205078125
2023-10-30T11:59:55.090449;1005.207275390625
2023-10-30T11:59:55.305411;1005.185546875
2023-10-30T11:59:55.520401;1005.203369140625
2023-10-30T11:59:55.735384;1005.18798828125
2023-10-30T11:59:55.950390;1005.1982421875
2023-10-30T11:59:56.165395;1005.185546875
2023-10-30T11:59:56.380284;1005.246826171875
2023-10-30T11:59:56.595277;1005.195068359375
2023-10-30T11:59:56.810403;1005.264404296875
2023-10-30T11:59:57.025438;1005.19775390625
2023-10-30T11:59:57.240304;1005.175048828125
2023-10-30T11:59:57.455283;1005.226318359375
2023-10-30T11:59:57.669314;1005.1796875
2023-10-30T11:59:57.884440;1005.148193359375
2023-10-30T11:59:58.099235;1005.257568359375
2023-10-30T11:59:58.314383;1005.246826171875
2023-10-30T11:59:58.529350;1005.2744140625
2023-10-30T11:59:58.744359;1005.2529296875
2023-10-30T11:59:58.959382;1005.146728515625
2023-10-30T11:59:59.174322;1005.22802734375
2023-10-30T11:59:59.389255;1005.2509765625
2023-10-30T11:59:59.604319;1005.22021484375
2023-10-30T11:59:59.819379;1005.166748046875
2023-10-30T12:00:00.034411;1005.18212890625
2023-10-30T12:00:00.249318;1005.212646484375
2023-10-30T12:00:00.464319;1005.18505859375
2023-10-30T12:00:00.679383;1005.182373046875
2023-10-30T12:00:00.894425;1005.24755859375
2023-10-30T12:00:01.109438;1005.218017578125
2023-10-30T12:00:01.324347;1005.218505859375
2023-10-30T12:00:01.539430;1005.15234375
2023-10-30T12:00:01.754433;1005.197021484375
2023-10-30T12:00:01.969421;1005.194091796875
2023-10-30T12:00:02.184406;1005.262451171875
2023-10-30T12:00:02.399324;1005.234619140625
2023-10-30T12:00:02.614334;1005.176513671875
2023-10-30T12:00:02.829392;1005.26904296875
2023-10-30T12:00:03.044380;1005.23388671875
2023-10-30T12:00:03.259329;1005.291015625
2023-10-30T12:00:03.474417;1005.29931640625
2023-10-30T12:00:03.689416;1005.24853515625
2023-10-30T12:00:03.904370;1005.21875
2023-10-30T12:00:04.119402;1005.219482421875
